Province/State,Country/Region,Lat,Long,January/20,February/20,March/20,April/20,May/20,June/20,July/20,August/20,September/20,October/20,November/20,December/20,January/21,February/21,March/21,April/21,May/21,June/21,July/21,August/21,September/21,October/21,November/21,December/21,January/22,February/22,March/22,April/22,May/22,June/22,July/22,August/22,September/22,October/22,November/22,December/22,January/23,February/23,3
,Afghanistan,33.93911,67.709953,0,30,1141,26928,222720,751685,1079412,1165099,1166401,1246695,1303865,1539551,1671259,1553102,1737068,1733260,1991950,2848717,4241348,4696019,4628009,4827238,4701215,4889195,4938320,4759331,5465007,5350389,5562250,5441364,5699567,5876924,5899026,6237917,6140134,6413335,6448651,5851560,
,Albania,41.1533,20.1683,0,0,2232,15632,28873,50880,119660,230278,350148,523084,866248,1540509,2088163,2610775,3652195,3865660,4089156,3973546,4113962,4262873,4784904,5511591,5801493,6351823,7217971,7491180,8456152,8233062,8544921,8323448,9157061,9994918,9937170,10311515,9995485,10341791,10354695,9359749,
,Algeria,28.0339,1.6596,0,5,4823,69497,211394,337819,674286,1185076,1458290,1683631,2074384,2884170,3212268,3096714,3577898,3581338,3890403,4030589,4734511,5788899,6016238,6358229,6249508,6636393,7141014,7317457,8228823,7972081,8240659,7978934,8263246,8344656,8116912,8393236,8129016,8406039,8410301,7599630,
,Andorra,42.5063,1.5218,0,0,2787,19106,23498,25511,27174,31382,45275,103067,174907,230115,279226,293412,352375,380633,418754,414764,442259,462595,453489,475994,481140,629689,931921,1043282,1211183,1219226,1308981,1301800,1391434,1422901,1383692,1437700,1402054,1473564,1481674,1340056,
,Angola,-11.2027,17.8739,0,0,48,601,1639,4660,20049,59160,111469,233349,404417,508018,580289,569508,666295,726071,948207,1109740,1260968,1394599,1552460,1929362,1946699,2112947,2871481,2758810,3067646,2976936,3080191,2997507,3156309,3180376,3089970,3197061,3104995,3251795,3258657,2945399,
,Antarctica,-71.9499,23.347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,341,308,341,330,341,330,341,341,330,341,330,341,341,308,
,Antigua and Barbuda,17.0608,-61.7964,0,0,61,617,776,1026,2366,2881,2886,3586,4047,4656,5759,12957,30085,36073,38611,37885,39480,44775,71908,118561,123417,129927,168724,201388,231549,226197,243182,255181,269915,274686,270221,282198,273180,282286,282286,254968,
,Argentina,-38.4161,-63.6167,0,0,6529,77576,275556,1091252,3728771,9244163,17545982,29922509,39307295,47136788,55312462,56733848,68713761,79416752,103825064,125059837,146386195,157553999,156899177,163452993,159264713,167592259,219509876,244540254,278486987,271731352,283185384,279205423,292851853,298337341,290926129,301151883,291664481,303648019,310141669,281154336,
,Armenia,40.0691,45.0382,0,0,4099,36511,151445,520967,1026463,1286089,1398359,2012415,3480514,4636215,5076072,4741148,5603135,6176164,6831987,6716751,7046137,7298355,7541311,8750263,9833856,10626338,10862656,11308526,13079093,12681842,13110214,12691827,13148400,13328334,13174278,13778644,13364450,13821934,13825768,12498414,
Australian Capital Territory,Australia,-35.4735,149.0124,0,0,579,3028,3314,3235,3470,3503,3390,3514,3443,3639,3658,3304,3793,3692,3844,3720,3844,6607,20954,46670,59247,77470,684834,1201574,1980709,2769306,3722684,4340214,5498846,6157166,6127303,6416932,6321083,6844548,7101186,6474892,
